,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Viedma,-40.8135,-62.9967,289.0,56,54,3.61,AR,1618626136
281,East London,-33.0153,27.9116,288.21,66,2,5.15,ZA,1618626058
282,Mana,5.6592,-53.7767,298.32,84,44,3.97,GF,1618626189
283,Rocha,-34.4833,-54.3333,289.45,94,0,0.96,UY,1618626114
284,San Luis,-33.295,-66.3356,292.64,61,27,2.18,AR,1618626081
285,Inta,66.0317,60.1659,267.86,94,100,2.0,RU,1618626190
286,Bereket,39.2446,55.5154,290.22,55,0,1.73,TM,1618626008
287,Vao,-22.6667,167.4833,296.5,75,57,7.79,NC,1618626190
288,Les Cayes,18.2,-73.75,296.79,83,2,2.02,HT,1618626191
289,Ilulissat,69.2167,-51.1,258.15,78,90,5.14,GL,1618625924
290,Khomutovo,52.4658,104.4025,285.15,30,0,3.0,RU,1618626191
291,Warrnambool,-38.3833,142.4833,289.26,71,100,2.24,AU,1618626192
292,Malakal,9.5334,31.6605,301.5,13,21,1.37,SS,1618626192
293,Brae,60.3964,-1.353,279.3,86,100,5.38,GB,1618626016
294,Necochea,-38.5473,-58.7368,286.48,98,1,1.79,AR,1618625928
295,Harar,9.3094,42.1258,289.33,68,46,1.66,ET,1618626193
296,Avarua,-21.2078,-159.775,301.15,69,90,1.03,CK,1618626040
297,Sibolga,1.7427,98.7792,297.28,91,100,1.22,ID,1618626193
298,Gobabis,-22.45,18.9667,290.4,48,98,4.4,NA,1618626194
299,Paamiut,61.994,-49.6678,261.22,65,75,6.1,GL,1618626086
300,Katsuura,35.1333,140.3,290.83,61,100,0.45,JP,1618625849
301,Waipawa,-41.4122,175.5153,287.04,67,20,10.29,NZ,1618626064
302,São Gabriel da Cachoeira,-0.1303,-67.0892,296.11,97,100,0.77,BR,1618626194
303,Gachsaran,30.3586,50.7981,286.15,41,0,1.19,IR,1618626195
304,Wanning,18.8003,110.3967,301.34,70,98,2.79,CN,1618626025
305,Mazagão,-0.115,-51.2894,298.15,100,40,1.03,BR,1618626195
306,Tambacounda,13.7539,-13.7586,303.15,25,21,1.03,SN,1618626196
307,Ormara,25.2088,64.6357,299.36,84,38,3.23,PK,1618626196
308,Tautira,-17.7333,-149.15,303.15,66,20,5.66,PF,1618626196
309,Grand-Santi,4.25,-54.3833,294.87,98,92,1.34,GF,1618626197
310,Kochki,54.3358,80.4806,272.43,89,94,5.31,RU,1618626197
311,Opuwo,-18.0607,13.84,295.08,44,100,2.23,NA,1618626197
312,Nemuro,43.3236,145.575,283.15,62,75,5.14,JP,1618625899
313,Shiyan,32.6475,110.7781,290.68,25,100,4.8,CN,1618626198
314,Banjar,-8.19,114.9675,303.15,74,20,3.6,ID,1618626125
315,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,294.82,97,0,0.89,AR,1618625902
316,Cidreira,-30.1811,-50.2056,294.44,79,100,2.36,BR,1618626042
317,Sisimiut,66.9395,-53.6735,258.27,72,100,2.56,GL,1618626199
318,Mossamedes,-15.1961,12.1522,300.54,65,7,3.05,AO,1618625978
319,Kakonko,-3.2828,30.9642,290.15,98,97,0.93,TZ,1618626199
320,Broken Hill,-31.95,141.4333,290.15,39,0,7.72,AU,1618626200
321,Deputatsky,69.3,139.9,259.88,84,98,2.03,RU,1618626137
322,Jinchang,38.4953,102.1739,280.7,18,35,1.52,CN,1618626200
323,Khandyga,62.6667,135.6,272.84,94,100,7.86,RU,1618626200
324,Uspenka,48.3903,39.1619,280.88,84,77,3.59,UA,1618626201
325,Jodhpur,26.2867,73.03,298.97,37,3,2.23,IN,1618626201
326,Kieta,-6.2167,155.6333,300.66,81,100,3.39,PG,1618625939
327,Tateyama,34.9833,139.8667,290.04,72,75,6.17,JP,1618626202
328,Azul,-36.777,-59.8585,290.39,82,94,1.41,AR,1618626152
329,Gimli,50.6336,-96.9907,280.15,29,12,2.06,CA,1618626202
330,Tiradentes,-21.1103,-44.1781,286.65,94,0,1.91,BR,1618626202
